月,通算週,月内週,競馬場,レース名,グレード,馬場,距離(m),年齢条件,性別条件,フルゲート,トライアル,対象G1,1着本賞金(万円),収得賞金(万円)
1月,第1週,第1週,中山,中山金杯,G3,芝,2000,4歳以上,混合,8頭,-,-,4300,0
1月,第1週,第1週,中京,京都金杯,G3,芝,1600,4歳以上,混合,8頭,-,-,4300,0
1月,第1週,第1週,中京,シンザン記念,G3,芝,1600,3歳,混合,8頭,-,-,4000,0
1月,第2週,第2週,中山,フェアリーS,G3,芝,1600,3歳,牝馬限定,8頭,-,-,3800,0
1月,第2週,第2週,中山,京成杯,G3,芝,2000,3歳,混合,8頭,-,-,4000,0
1月,第2週,第2週,中京,東海S [フェブラリーSトライアル],G2,ダート,1800,4歳以上,混合,8頭,○,フェブラリーS,5500,0
1月,第2週,第2週,東京,根岸S [フェブラリーSトライアル],G3,ダート,1400,4歳以上,混合,8頭,○,フェブラリーS,4000,0
1月,第3週,第3週,中京,日経新春杯,G2,芝,2200,4歳以上,混合,8頭,-,-,5700,0
1月,第4週,第4週,中山,アメリカJCC,G2,芝,2200,4歳以上,混合,8頭,-,-,6200,0
1月,第4週,第4週,川崎,川崎記念,G1,ダート,2100,4歳以上,混合,8頭,-,-,10000,0
2月,第5週,第1週,東京,東京新聞杯,G3,芝,1600,4歳以上,混合,8頭,-,-,4100,0
2月,第5週,第1週,阪神,きさらぎ賞,G3,芝,1800,3歳,混合,8頭,-,-,4000,0
2月,第5週,第1週,阪神,シルクロードS [高松宮記念トライアル],G3,芝,1200,4歳以上,混合,8頭,○,高松宮記念,4100,0
2月,第6週,第2週,東京,共同通信杯,G3,芝,1800,3歳,混合,8頭,-,-,4000,0
2月,第6週,第2週,東京,クイーンC,G3,芝,1600,3歳,牝馬限定,8頭,-,-,3800,0
2月,第6週,第2週,阪神,京都記念,G2,芝,2200,4歳以上,混合,8頭,-,-,6200,0
2月,第7週,第3週,東京,フェブラリーS,G1,ダート,1600,4歳以上,混合,8頭,-,-,12000,0
2月,第7週,第3週,大井,雲取賞 [羽田盃トライアル],G3,ダート,1800,3歳,混合,8頭,○,羽田盃,3500,0
2月,第7週,第3週,阪神,小倉大賞典,G3,芝,1800,4歳以上,混合,8頭,-,-,4300,0
2月,第7週,第3週,阪神,阪急杯 [高松宮記念トライアル],G3,芝,1400,4歳以上,混合,8頭,○,高松宮記念,4300,0
2月,第7週,第3週,東京,オーシャンS [高松宮記念トライアル],G3,芝,1200,4歳以上,混合,8頭,○,高松宮記念,4300,0
2月,第8週,第4週,中山,中山記念 [大阪杯トライアル],G2,芝,1800,4歳以上,混合,8頭,○,大阪杯,6700,0
2月,第8週,第4週,中京,金鯱賞 [大阪杯トライアル],G2,芝,2000,4歳以上,混合,8頭,○,大阪杯,6700,0
3月,第9週,第1週,中山,弥生賞ディープ記念 [皐月賞トライアル],G2,芝,2000,3歳,牡・セン限定,8頭,○,皐月賞,5400,0
3月,第9週,第1週,阪神,チューリップ賞 [桜花賞トライアル],G2,芝,1600,3歳,牝馬限定,8頭,○,桜花賞,5200,0
3月,第9週,第1週,阪神,フィリーズレビュー [桜花賞トライアル],G2,芝,1400,3歳,牝馬限定,8頭,○,桜花賞,5200,0
3月,第10週,第2週,中京,ファルコンS,G3,芝,1400,3歳,混合,8頭,-,-,4000,0
