=== 繁殖牝馬サンプル ===
ID:61   | フジモリコーラル             | 牝馬 | 14歳
ID:62   | ササハラアマゾナイト           | 牝馬 | 7歳
ID:63   | エビナスイセン              | 牝馬 | 10歳
ID:64   | シバサキクロエ              | 牝馬 | 6歳
ID:65   | ヒビキアナスタシア            | 牝馬 | 9歳
ID:66   | ササハラアンタレス            | 牝馬 | 6歳
ID:67   | トヨシマサンライズ            | 牝馬 | 12歳
ID:68   | トヨシマプラチナ             | 牝馬 | 11歳
ID:69   | ハスミクチナシ              | 牝馬 | 15歳
ID:70   | クスノキヒース              | 牝馬 | 10歳
ID:71   | ヤクモクリソコラ             | 牝馬 | 11歳
ID:72   | シラトリスターフルーツ          | 牝馬 | 9歳
ID:73   | ドウジマジギタリス            | 牝馬 | 8歳
ID:74   | ドウジマシュトレン            | 牝馬 | 12歳
ID:75   | ユゲガーベラ               | 牝馬 | 14歳
ID:76   | オギノブランマンジェ           | 牝馬 | 8歳
ID:77   | デミズスイートピー            | 牝馬 | 16歳
ID:78   | マカベマドレーヌ             | 牝馬 | 14歳
ID:79   | タチバナデネブ              | 牝馬 | 6歳
ID:80   | サカキソフィア              | 牝馬 | 13歳
ID:81   | サカキグアバ               | 牝馬 | 9歳
ID:82   | イブキジェラート             | 牝馬 | 5歳
ID:83   | シオミギャラクシー            | 牝馬 | 12歳
ID:84   | イワキサルビア              | 牝馬 | 15歳
ID:85   | ハスミサントノーレ            | 牝馬 | 9歳

=== 現役馬サンプル ===
ID:661  | シマノラフマニノフ            | filly | 2歳
ID:662  | セリザワヘルダーリン           | filly | 2歳
ID:663  | ミネギシメルク修道院           | colt  | 2歳
ID:664  | セリザワロペデベガ            | filly | 2歳
ID:665  | トヨシマオットー             | filly | 2歳
ID:666  | シオミルツェルン             | colt  | 2歳
ID:667  | クリハラアントワープ           | filly | 2歳
ID:668  | カサイエレーナ              | colt  | 2歳
ID:669  | カザマスキピオ              | colt  | 2歳
ID:670  | クサカベミケーネ             | colt  | 2歳
ID:671  | カガミフランクリン            | filly | 2歳
ID:672  | ヒムロアリオスト             | colt  | 2歳
ID:673  | ナスノバウムクーヘン           | filly | 2歳
ID:674  | タカトリグラーツ             | filly | 2歳
ID:675  | タキモトアルカサル            | colt  | 2歳
ID:676  | ツキシマパパイヤ             | filly | 2歳
ID:677  | ヤグルマムーンストーン          | colt  | 2歳
ID:678  | シバサキワシントン            | colt  | 2歳
ID:679  | ケンモチエメラルド            | colt  | 2歳
ID:680  | ナルミローヌ               | filly | 2歳
ID:681  | ミドリカスフィンクス           | filly | 2歳
ID:682  | ササハラコブシ              | filly | 2歳
ID:683  | クロカワブルーノ             | filly | 2歳
ID:684  | カスミノドニエプル            | colt  | 2歳
ID:685  | ナスノトレビ               | filly | 2歳
